iter	Logloss
0	0.6889894789
1	0.6843642656
2	0.6802784353
3	0.6758347437
4	0.6725887331
5	0.6679171748
6	0.6635799076
7	0.6599106272
8	0.6557763144
9	0.6517632376
10	0.647883562
11	0.6439013977
12	0.6400169211
13	0.6367629398
14	0.6332665981
15	0.6300464999
16	0.625750721
17	0.6224187386
18	0.6187998787
19	0.6163853682
20	0.6125789557
21	0.6097475539
22	0.6070898313
23	0.6035352327
24	0.6001229581
25	0.597050682
26	0.5945926347
27	0.5920457847
28	0.5892180309
29	0.5864487812
30	0.5834174319
31	0.5803370769
32	0.5780520187
33	0.5756289464
34	0.573171072
35	0.570458523
36	0.5676113443
37	0.5654451
38	0.5630208355
39	0.5602000538
40	0.5582433495
41	0.5556276279
42	0.5531393642
43	0.5500864487
44	0.5477363835
45	0.5458051116
46	0.5440945288
47	0.5420337684
48	0.5398546846
49	0.5380636516
50	0.5360242808
51	0.5337748863
52	0.5312813853
53	0.5295134319
54	0.5274848043
55	0.5258559474
56	0.5244142325
57	0.5228634294
58	0.5204479395
59	0.5179736068
60	0.5163120815
61	0.5148169062
62	0.5128241109
63	0.5107986412
64	0.509115442
65	0.5071519118
66	0.5048030208
67	0.5033724064
68	0.5020311691
69	0.500707682
70	0.4988526245
71	0.4976149618
72	0.4964078028
73	0.4950690433
74	0.4938253737
75	0.4922578997
76	0.4906353526
77	0.4891424985
78	0.4876393118
79	0.4866036326
80	0.4846475991
81	0.4833177367
82	0.4819255925
83	0.4807437772
84	0.4796310552
85	0.4782360122
86	0.4769994307
87	0.4758129343
88	0.4743575675
89	0.4732011887
90	0.4724158792
91	0.471667377
92	0.4703864561
93	0.4693641595
94	0.4676541041
95	0.4659345591
96	0.4644288121
97	0.46329137
98	0.4622356615
99	0.4610846188
100	0.4599310693
101	0.4589231156
102	0.4579043885
103	0.4572225105
104	0.4562545197
105	0.4553007487
106	0.4539763241
107	0.4529292803
108	0.4518367938
109	0.4509680721
110	0.4501403638
111	0.4491233595
112	0.4477227791
113	0.4467008328
114	0.4457008999
115	0.4448544237
116	0.4439905123
117	0.442944789
118	0.4419866461
119	0.4412057452
120	0.4402620376
121	0.4391386268
122	0.4383132033
123	0.4375976526
124	0.4367663772
125	0.4354589343
126	0.4343279694
127	0.4335072626
128	0.432747458
129	0.4321636242
130	0.4312889157
131	0.4302221578
132	0.42936625
133	0.4285754058
134	0.4278026348
135	0.4268709837
136	0.426127571
137	0.4254555122
138	0.4247648547
139	0.4238215555
140	0.4229632416
141	0.4221862607
142	0.4216625344
143	0.4208182098
144	0.4204402973
145	0.4197962659
146	0.4190687168
147	0.4183730686
148	0.4172167493
149	0.4166067708
150	0.4160166553
151	0.415218557
152	0.4143741225
153	0.4139436462
154	0.4133269667
155	0.4125441714
156	0.4113513401
157	0.4109514845
158	0.4101644393
159	0.409607397
160	0.4090908412
161	0.408571126
162	0.4077697171
163	0.4070464686
164	0.4064030925
165	0.4058423205
166	0.4051012387
167	0.404312927
168	0.4034459056
169	0.4028899672
170	0.4024345437
171	0.4016027468
172	0.4008527012
173	0.4004370361
174	0.3998111634
175	0.3992289815
176	0.3986641711
177	0.3980947827
178	0.3975596144
179	0.397125745
180	0.3966685327
181	0.3961128521
182	0.3954957573
183	0.3950653439
184	0.3944937695
185	0.3939892508
186	0.3933327602
187	0.3928341801
188	0.39229461
189	0.3918643244
190	0.3912093463
191	0.3907555345
192	0.3900710951
193	0.3897417184
194	0.389142644
195	0.3885089152
196	0.3878909131
197	0.3872182854
198	0.3867628259
199	0.3863296612
200	0.3859759131
201	0.3855087268
202	0.3850855591
203	0.3846787726
204	0.3842320702
205	0.3837405829
206	0.3831877722
207	0.3828507061
208	0.3823197371
209	0.3816797152
210	0.3814015246
211	0.3809887033
212	0.3804586514
213	0.3798819629
214	0.3791440535
215	0.3784975097
216	0.3780696454
217	0.3780290629
218	0.3775135968
219	0.377000484
220	0.3765528182
221	0.376020768
222	0.3754074378
223	0.3749677826
224	0.3744002681
225	0.3739913045
226	0.3734970086
227	0.3728878249
228	0.3725984791
229	0.3721814911
230	0.3717962956
